CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,Description,Sales
C1972,INV133553,2024-03-17 00:00:00,2,88.6,Product_100,177.2
C2686,INV109427,2024-01-19 00:00:00,3,160.1,Product_8,480.29999999999995
C2967,INV100199,2024-01-07 00:00:00,3,142.09,Product_131,426.27
C1259,INV112447,2024-01-09 00:00:00,2,48.46,Product_44,96.92
C2140,INV139489,2024-03-01 00:00:00,1,55.56,Product_107,55.56
C1786,INV142724,2024-09-18 00:00:00,2,143.17,Product_100,286.34
C2464,INV110822,2024-01-18 00:00:00,3,108.62,Product_178,325.86
C2335,INV149498,2024-07-23 00:00:00,1,69.12,Product_46,69.12
C2776,INV104144,2024-08-10 00:00:00,4,129.76,Product_167,519.04
C1138,INV136958,2024-06-12 00:00:00,4,99.59,Product_149,398.36
C2989,INV143106,2024-02-15 00:00:00,2,111.5,Product_102,223.0
C1017,INV138695,2025-07-30 00:00:00,3,180.73,Product_186,542.1899999999999
C1838,INV106188,2024-01-12 00:00:00,3,221.65,Product_100,664.95
C1062,INV101414,2024-06-26 00:00:00,4,60.8,Product_128,243.2
C2429,INV118471,2024-05-21 00:00:00,1,88.13,Product_15,88.13
C2240,INV129282,2024-03-30 00:00:00,3,92.11,Product_183,276.33
C2970,INV115177,2024-02-03 00:00:00,3,140.31,Product_17,420.93
C1898,INV134304,2024-01-26 00:00:00,4,48.86,Product_28,195.44
C2252,INV112609,2024-03-13 00:00:00,3,186.52,Product_31,559.5600000000001
C2258,INV112144,2024-02-01 00:00:00,3,128.82,Product_1,386.46
C2365,INV106113,2024-09-18 00:00:00,3,95.39,Product_184,286.17
C2175,INV115908,2024-05-09 00:00:00,1,55.65,Product_137,55.65
C1526,INV100821,2024-02-28 00:00:00,5,82.18,Product_124,410.90000000000003
C2379,INV115118,2024-02-07 00:00:00,1,89.35,Product_39,89.35
C2674,INV113466,2024-02-06 00:00:00,2,83.0,Product_108,166.0
C2197,INV126497,2024-03-01 00:00:00,2,147.52,Product_89,295.04
C1804,INV142111,2024-01-26 00:00:00,3,119.31,Product_106,357.93
C2943,INV130188,2024-08-23 00:00:00,5,61.06,Product_38,305.3
C2853,INV137237,2024-11-10 00:00:00,3,170.23,Product_178,510.68999999999994
C1713,INV133109,2024-01-26 00:00:00,6,15.4,Product_117,92.4
C1118,INV136480,2024-01-30 00:00:00,2,144.82,Product_194,289.64
C2636,INV124148,2024-03-06 00:00:00,3,27.47,Product_80,82.41
C1137,INV105503,2024-04-04 00:00:00,3,91.06,Product_146,273.18
C2427,INV103918,2024-02-18 00:00:00,2,81.8,Product_126,163.6
C2760,INV138478,2024-03-28 00:00:00,1,164.8,Product_115,164.8
C2700,INV121123,2024-05-08 00:00:00,3,92.0,Product_141,276.0
C1661,INV149717,2024-01-28 00:00:00,3,84.66,Product_127,253.98
C1031,INV142294,2024-01-23 00:00:00,3,135.25,Product_159,405.75
C2768,INV147609,2024-01-05 00:00:00,2,175.88,Product_83,351.76
C2595,INV111076,2024-02-28 00:00:00,3,20.03,Product_23,60.09
C1765,INV141514,2024-01-03 00:00:00,1,11.28,Product_25,11.28
C2904,INV122062,2024-01-21 00:00:00,3,9.57,Product_38,28.71
C2077,INV109413,2024-06-11 00:00:00,2,154.35,Product_50,308.7
C1174,INV138340,2024-04-16 00:00:00,4,191.62,Product_88,766.48
C2532,INV130263,2024-02-04 00:00:00,5,12.39,Product_84,61.95
